external_mall_id,block_id,average_dwell_time,median_dwell_time
18,11273,249.52005092297898,180.0
18,11271,190.00535946711585,120.0
17,4319,1325.2168601099572,780.0
36,1201,621.422548913631,240.0
36,1212,217.8338603746047,120.0
15,425,492.521903677664,240.0
14,5211,1291.378992062027,840.0
22,6726,368.2990499031455,180.0
30,7313,163.93276408577947,120.0
24,2224,1512.3955810243988,1020.0
10,4674,1423.8450275931975,420.0
14,5152,2342.979997240743,1500.0
25,6267,1803.6716077537058,1200.0
10,4727,548.4549277393784,180.0
17,4294,340.3295845765435,180.0
25,6280,538.609873080805,240.0
22,6629,642.039286637374,240.0
36,1095,350.9342796696922,240.0
15,571,416.1409860504739,180.0
17,4262,487.6166490435451,300.0
23,5916,2369.1145110957004,2160.0
36,1088,281.3405238828968,180.0
10,4627,537.6338373518594,300.0
12,2929,187.40641873445367,120.0
32,11474,1477.002457002457,360.0
32,13578,551.5095913261051,240.0
18,11307,2722.5634088603315,2760.0
19,7026,467.42206458838905,240.0
19,7169,479.1539065984242,240.0
26,6541,277.2368722770007,180.0
28,5813,1344.6012800553538,180.0
28,5716,363.1970358927321,180.0
7,9,2845.932990416035,1200.0
26,6564,303.1216263787843,180.0
30,7335,319.7434098426381,180.0
18,11300,1197.651423313421,720.0
23,6104,291.4712372350798,180.0
7,70,475.773242348406,180.0
10,4510,2052.02824570359,1860.0
36,1078,358.33903143359777,240.0
32,11563,2258.806529301579,2400.0
32,11361,1205.4142118552363,300.0
36,1127,510.41777695391244,180.0
36,13815,709.714049429053,360.0
19,7089,246.53572734289313,180.0
30,7389,349.7413664224847,180.0
13,7674,989.1296848712765,360.0
16,1748,441.0039950406392,180.0
19,7027,370.61857050681147,240.0
10,4586,330.3743590944209,180.0
16,1732,349.5591991431161,180.0
22,6611,539.9273770565294,300.0
25,6345,789.9025093468697,540.0
26,6532,2769.2412746585737,1680.0
36,1146,220.27520479734432,180.0
36,1236,186.62226766518364,120.0
12,2891,364.85025851136476,180.0
15,474,3090.2407902860673,3120.0
7,14,1362.9223113077135,360.0
23,5936,722.1232544896693,300.0
33,6931,289.9478070774696,180.0
23,5997,753.7750604294042,240.0
13,7599,375.72710951526034,240.0
13,7573,292.98644915142745,180.0
